Wk;Day;Date;Time;Home;Away;Corners outcome;Reliability of the forecast;Correct_prediction
12;Fri;10/11/2023;18:30;Sassuolo;Salernitana;1;13.88;1
12;Fri;10/11/2023;20:45;Genoa;Hellas Verona;1;4.51;0
12;Sat;11/11/2023;15:00;Lecce;Milan;2;16.94;0
12;Sat;11/11/2023;18:00;Juventus;Cagliari;1;18.75;1
12;Sat;11/11/2023;20:45;Monza;Torino;2;7.3;0
12;Sun;12/11/2023;12:30;Napoli;Empoli;1;24.08;1
12;Sun;12/11/2023;15:00;Fiorentina;Bologna;1;23.24;0
12;Sun;12/11/2023;15:00;Udinese;Atalanta;2;21.61;0
12;Sun;12/11/2023;18:00;Lazio;Roma;2;6.7;0
12;Sun;12/11/2023;20:45;Inter;Frosinone;1;22.58;1
