Day,Date,Time,Home,Away,Corners outcome,Reliability of the forecast
Fri,2023-12-08,20:45,Juventus,Napoli,2,21.91
Sat,2023-12-09,15:00,Hellas Verona,Lazio,2,22.0
Sat,2023-12-09,18:00,Atalanta,Milan,1,18.07
Sat,2023-12-09,20:45,Inter,Udinese,1,21.97
Sun,2023-12-10,12:30,Frosinone,Torino,2,19.1
Sun,2023-12-10,15:00,Monza,Genoa,1,22.78
Sun,2023-12-10,18:00,Salernitana,Bologna,2,15.9
Sun,2023-12-10,20:45,Roma,Fiorentina,1,1.31
Mon,2023-12-11,18:30,Empoli,Lecce,2,14.46
Mon,2023-12-11,20:45,Cagliari,Sassuolo,2,18.77
