Day;Date;Time;Home;Away;Corners outcome;Reliability of the forecast;Correct_prediction
Fri;15/12/2023;20:45;Genoa;Juventus;2;16.07;
Sat;16/12/2023;15:00;Lecce;Frosinone;1;2.94;
Sat;16/12/2023;18:00;Napoli;Cagliari;1;24.99;
Sat;16/12/2023;20:45;Torino;Empoli;1;21.86;
Sun;17/12/2023;12:30;Milan;Monza;2;11.61;
Sun;17/12/2023;15:00;Fiorentina;Hellas Verona;1;24.62;
Sun;17/12/2023;15:00;Udinese;Sassuolo;2;3.42;
Sun;17/12/2023;18:00;Bologna;Roma;2;22.02;
Sun;17/12/2023;20:45;Lazio;Inter;2;8.77;
Mon;18/12/2023;20:45;Atalanta;Salernitana;1;24.76;
