Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
19;Fri;05/01/2024;20:45;Bologna;Genoa;2;5.85
19;Sat;06/01/2024;12:30;Inter;Hellas Verona;1;24.21
19;Sat;06/01/2024;15:00;Frosinone;Monza;2;15.63
19;Sat;06/01/2024;18:00;Lecce;Cagliari;1;6.31
19;Sat;06/01/2024;20:45;Sassuolo;Fiorentina;2;13.31
19;Sun;07/01/2024;12:30;Empoli;Milan;2;15.68
19;Sun;07/01/2024;15:00;Udinese;Lazio;2;23.3
19;Sun;07/01/2024;15:00;Torino;Napoli;2;12.17
19;Sun;07/01/2024;18:00;Salernitana;Juventus;2;21.41
19;Sun;07/01/2024;20:45;Roma;Atalanta;X;3.11
