Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
21,Sat,2024-01-20,18:00,Roma,Hellas Verona,1,24.27
21,Sat,2024-01-20,20:45,Udinese,Milan,2,18.44
21,Sun,2024-01-21,12:30,Frosinone,Cagliari,1,11.83
21,Sun,2024-01-21,15:00,Empoli,Monza,2,10.96
21,Sun,2024-01-21,18:00,Salernitana,Genoa,2,13.66
21,Sun,2024-01-21,20:45,Lecce,Juventus,2,15.35
21,Wed,2024-02-14,19:00,Bologna,Fiorentina,2,23.51
21,Thu,2024-02-22,20:45,Torino,Lazio,X,5.78
21,Wed,2024-02-28,18:00,Sassuolo,Napoli,2,23.57
21,Wed,2024-02-28,20:45,Inter,Atalanta,1,7.46
