Wk;Day;Date;Time;Home;Away;Corners predictions;Reliability of the forecast
12;Fri;10/11/2023;18:30;Sassuolo;Salernitana;1;13.88
12;Fri;10/11/2023;20:45;Genoa;Hellas Verona;1;4.51
12;Sat;11/11/2023;15:00;Lecce;Milan;2;16.94
12;Sat;11/11/2023;18:00;Juventus;Cagliari;1;18.75
12;Sat;11/11/2023;20:45;Monza;Torino;2;7.3
12;Sun;12/11/2023;12:30;Napoli;Empoli;1;24.08
12;Sun;12/11/2023;15:00;Fiorentina;Bologna;1;23.24
12;Sun;12/11/2023;15:00;Udinese;Atalanta;2;21.61
12;Sun;12/11/2023;18:00;Lazio;Roma;2;6.7
12;Sun;12/11/2023;20:45;Inter;Frosinone;1;22.58
