Wk,Day,Date,Time,Home,Away,Corners predictions,Reliability of the forecast
29,Sun,2024-03-17,18:00,Atalanta,Fiorentina,2,13.09
35,Fri,2024-05-03,20:45,Torino,Bologna,1,18.19
35,Sat,2024-05-04,18:00,Monza,Lazio,2,20.51
35,Sat,2024-05-04,20:45,Sassuolo,Inter,2,24.14
35,Sun,2024-05-05,12:30,Cagliari,Lecce,2,8.91
35,Sun,2024-05-05,15:00,Empoli,Frosinone,2,22.25
35,Sun,2024-05-05,15:00,Hellas Verona,Fiorentina,2,25.0
35,Sun,2024-05-05,18:00,Milan,Genoa,1,23.34
35,Sun,2024-05-05,20:45,Roma,Juventus,2,15.47
35,Mon,2024-05-06,18:00,Salernitana,Atalanta,2,25.0
35,Mon,2024-05-06,20:45,Udinese,Napoli,2,25.0
